rendszam	tipus	szin	h_urtart	benzines	forg_eve	netto_ar
ALE-324	Opel	fehér	1600	0	1995	300000
BJS-331	Skoda	kék	1800	1	1996	250000
AWJ-621	Skoda	fekete	1900	0	1996	210000
DLA-452	Fiat	piros	1200	1	2000	350000
FGH-238	Citroen	ezüst	2000	0	2001	800000
KSA-561	Opel	kék	2000	0	2006	2100000
LBA-112	Audi	fekete	2200	0	2008	4500000
BML-589	Fiat	piros	1400	1	1998	450000
CHL-223	Citroen	kék	1600	1	1999	950000
CKL-523	Skoda	zöld	1200	1	1999	510000
BKH-553	Opel	fehér	2500	0	1997	630000
CAL-224	Opel	piros	1800	1	1998	690000
EFG-552	Audi	ezüst	2000	0	2000	1800000
HJI-114	Citroen	kék	1600	1	2002	2100000
JKS-555	Fiat	fehér	1800	1	2003	1250000
ESD-663	Opel	piros	2000	0	2001	1650000
FGH-213	Volvo	kék	2500	0	2001	2500000
EDS-323	Suzuki	piros	1200	1	2000	550000
