név;földrész;fõváros;terület;lakosság
Afganisztán;Ázsia;Kabul;647500;31100000
Albánia;Európa;Tirana;28748;3600000
Algéria;Afrika;Algír;2381741;32900000
Amerikai Egyesült Államok;Amerika;Washington;9629091;298400000
Andorra;Európa;Andorra la Vella;468;71000
Angola;Afrika;Luanda;1246700;12100000
Antigua és Barbuda;Amerika;St. John's;443;69000
Argentína;Amerika;Buenos Aires;2766890;39900000
Ausztrália;Ausztrália;Canberra;7617931;20300000
Ausztria;Európa;Bécs;83858;8200000
Azerbajdzsán;Ázsia;Bak?;86600;8000000
Bahama-szigetek;Amerika;Nassau;13940;300000
Bahrein;Ázsia;Manáma;665;700000
Banglades;Ázsia;Dhaka;144000;147400000
Barbados;Amerika;Bridgetown;431;280000
Belgium;Európa;Brüsszel;30510;10400000
Belize;Amerika;Belmopan;22966;290000
Benin;Afrika;Porto Novo;112622;7900000
Bhután;Ázsia;Timpu;47000;2300000
Bissau-Guinea;Afrika;Bissau;36125;1400000
Bolívia;Amerika;La Paz;1098580;9000000
Bosznia és Hercegovina;Európa;Szarajevó;51129;4500000
Botswana;Afrika;Gaborone;600370;1600000
Brazília;Amerika;Brasília;8511965;188100000
Brunei;Ázsia;Bandar Seri Begawan;5770;380000
Bulgária;Európa;Szófia;110910;7400000
Burkina Faso;Afrika;Ouagadougou;274122;13900000
Burundi;Afrika;Bujumbura;27830;8100000
Chile;Amerika;Santiago de Chile;756950;16100000
Ciprus;Ázsia;Nicosia;9250;780000
Comore-szigetek;Afrika;Moroni;2170;700000
Costa Rica;Amerika;San José;51100;4100000
Csád;Afrika;N’Djamena;1284000;9900000
Csehország;Európa;Prága;78866;10200000
Dánia;Európa;Koppenhága;43094;5500000
Dél-afrikai Köztársaság;Afrika;Pretoria;1219912;44200000
Dél-Korea;Ázsia;Szöul;98480;48800000
Dominikai Közösség;Amerika;Roseau;754;69000
Dominikai Köztársaság;Amerika;Santo Domingo;48730;9200000
Dzsibuti;Afrika;Dzsibuti;23000;490000
Ecuador;Amerika;Quito;283560;13500000
Egyenlítõi-Guinea;Afrika;Malabo;28051;540000
Egyesült Arab Emirátusok;Ázsia;Abú-Dzabi;82880;2600000
Egyesült Királyság;Európa;London;244820;60600000
Egyiptom;Afrika;Kairó;1001450;78900000
Elefántcsontpart;Afrika;Yamoussoukro;322460;17700000
Eritrea;Afrika;Aszmara;121320;4800000
Észak-Korea;Ázsia;Phenjan;120540;23100000
Észtország;Európa;Tallin;45226;1300000
Etiópia;Afrika;Addisz Abeba;1127127;74800000
Fehéroroszország;Európa;Minszk;207600;10300000
Fidzsi-szigetek;Ausztrália;Suva;18270;900000
Finnország;Európa;Helsinki;337030;5200000
Franciaország;Európa;Párizs;547030;60900000
Fülöp-szigetek;Ázsia;Manila;300000;89500000
Gabon;Afrika;Libreville;267667;1400000
Gambia;Afrika;Banjul;11295;1600000
Ghána;Afrika;Accra;239460;22400000
Görögország;Európa;Athén;131940;10700000
Grenada;Amerika;St. George's;344;90000
Grúzia;Ázsia;Tbiliszi;69700;4700000
Guatemala;Amerika;Guatemala City;108890;12300000
Guinea;Afrika;Conakry;245857;9700000
Guyana;Amerika;Georgetown;214970;770000
Haiti;Amerika;Port-au-Prince;27750;8300000
Hollandia;Európa;Amsterdam;41526;16500000
Honduras;Amerika;Tegucigalpa;112090;7300000
Horvátország;Európa;Zágráb;56542;4500000
India;Ázsia;Újdelhi-Delhi;3287590;1095400000
Indonézia;Ázsia;Jakarta;1919440;245500000
Irak;Ázsia;Bagdad;437072;26800000
Irán;Ázsia;Teherán;1600000;68700000
Írország;Európa;Dublin;70280;4100000
Izland;Európa;Reykjavík;103000;300000
Izrael;Ázsia;Jeruzsálem;20770;6400000
Jamaica;Amerika;Kingston;10991;2800000
Japán;Ázsia;Tokió;377835;127500000
Jemen;Ázsia;Szanaa;527970;21500000
Jordánia;Ázsia;Ammán;92300;5900000
Kambodzsa;Ázsia;Phnompen;181040;13900000
Kamerun;Afrika;Yaoundé;475440;17300000
Kanada;Amerika;Ottawa;9984670;33100000
Katar;Ázsia;Doha;11437;890000
Kazahsztán;Ázsia;Asztana;2717300;15200000
Kelet-Timor;Ázsia;Dili;15007;1100000
Kelet-Timor;Ausztrália;Dili;15007;1040880
Kenya;Afrika;Nairobi;582646;34700000
Kína;Ázsia;Peking;9597077;1314000000
Kirgizisztán;Ázsia;Biskek;198500;5200000
Kiribati;Ausztrália;South Tarawa;717;110000
Kolumbia;Amerika;Bogotá;1138910;43600000
Kongói Demokratikus Köztársaság;Afrika;Kinshasa;2345409;62700000
Kongói Köztársaság;Afrika;Brazzaville;342000;3700000
Közép-afrikai Köztársaság;Afrika;Bangui;622984;4300000
Kuba;Amerika;Havanna;110860;11400000
Kuvait;Ázsia;Kuvaitváros;17820;2400000
Laosz;Ázsia;Vientián;236800;6400000
Lengyelország;Európa;Varsó;312685;3850000
Lesotho;Afrika;Maseru;30355;2000000
Lettország;Európa;Riga;64589;2300000
Libanon;Ázsia;Bejrút;10400;3900000
Libéria;Afrika;Monrovia;111369;3000000
